ned2_devel

locale/fr/LC_MESSAGES/source/tcp_server.po: 32 translated, 0 fuzzy, 1 untranslated.
locale/fr/LC_MESSAGES/source/ros_wrapper.po: 0 translated, 0 fuzzy, 12 untranslated.
locale/fr/LC_MESSAGES/source/changelog.po: 15 translated, 0 fuzzy, 21 untranslated.
locale/fr/LC_MESSAGES/source/modbus_tcp_server.po: 96 translated, 0 fuzzy, 86 untranslated.
locale/fr/LC_MESSAGES/source/simulation.po: 48 translated, 0 fuzzy, 2 untranslated.
locale/fr/LC_MESSAGES/source/python_ros_wrapper/ros_wrapper_doc.po: 19 translated, 0 fuzzy, 3 untranslated.
locale/fr/LC_MESSAGES/source/installation/ubuntu_16.po: 0 translated, 0 fuzzy, 2 untranslated.
locale/fr/LC_MESSAGES/source/installation/wsl.po: 0 translated, 0 fuzzy, 29 untranslated.
locale/fr/LC_MESSAGES/source/installation/ubuntu_18.po: 0 translated, 0 fuzzy, 41 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_gazebo.po: 7 translated, 0 fuzzy, 1 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_poses_handlers.po: 40 translated, 0 fuzzy, 40 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_modbus.po: 0 translated, 0 fuzzy, 1 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_rpi.po: 33 translated, 0 fuzzy, 39 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_vision.po: 37 translated, 0 fuzzy, 32 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_tools.po: 19 translated, 0 fuzzy, 13 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_arm_commander.po: 39 translated, 0 fuzzy, 43 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_programs_manager.po: 25 translated, 0 fuzzy, 30 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_bringup.po: 25 translated, 0 fuzzy, 2 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_sound.po: 0 translated, 0 fuzzy, 52 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_commander.po: 41 translated, 0 fuzzy, 44 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_led_ring.po: 0 translated, 0 fuzzy, 186 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_unit_tests.po: 15 translated, 0 fuzzy, 4 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_description.po: 3 translated, 0 fuzzy, 1 untranslated.
locale/fr/LC_MESSAGES/source/ros/niryo_robot_user_interface.po: 2 translated, 0 fuzzy, 2 untranslated.
